matricula(tailNum);agnoFabricacion(planeYear);modelo(model);
N295AT;2006;737-76N;
N295SW;1996;EMB-120ER;
N295UX;1995;EMB-120ER;
N295WN;2007;737-7H4;
N296AT;2006;737-7BD;
N296SW;1996;EMB-120ER;
N296WN;2007;737-7H4;
N29717;1999;737-724;
N297SW;1996;EMB-120ER;
N297WN;2007;737-7H4;
N298AA;1985;DC-9-82(MD-82);
N298SW;1996;EMB-120ER;
N298WN;;737-7H4;
N29906;2001;EMB-145LR;
N29917;2001;EMB-145LR;
N299AT;2006;737-76N;
N299SW;1997;EMB-120ER;
N299WN;;737-7H4;
N300AT;2006;737-7BD;
N300SW;1984;737-3H4;
N301DQ;;;
N301US;1989;A320-211;
N301YV;1995;EMB-120ER;
N302AS;2003;737-990;
N302AW;1988;737-3G7;
N302DQ;;;
N302NB;1999;A319-114;
N303AS;2001;737-990;
N303AW;1988;737-3G7;
N303DQ;;;
N303SW;1985;737-3H4;
N30401;2001;737-924;
N304DQ;;;
N304SW;1985;737-3H4;
N305AS;2001;737-990;
N305AW;1988;737-3G7;
N305SW;1985;737-3H4;
N306AS;2001;737-990;
N307AS;2001;737-990;
N307AT;2006;737-7BD;
N307AW;1990;737-3G7;
N307SW;1985;737-3H4;
N308AT;2006;737-7BD;
N308SA;1986;737-3Y0;
N308SW;1997;EMB-120ER;
N309AS;2001;737-990;
N309AT;2006;737-7BD;
N309SW;1985;737-3H4;
N309US;1990;A320-211;
N310NW;1990;A320-211;
N310SW;1985;737-3H4;
N31131;2003;EMB-145XR;
N311AT;2006;737-7BD;
N311SW;1986;737-3H4;
N311UA;1987;737-322;
N311US;1990;A320-211;
N312AT;2006;737-7BD;
N312SW;1986;737-3H4;
N312US;1990;A320-211;
N313AT;2007;737-7BD;
N313AW;1987;737-3S3;
N313MQ;;;
N313SW;1986;737-3H4;
N313US;1990;A320-211;
N31412;2002;737-924;
N314AW;1987;737-3S3;
N314NB;2000;A319-114;
N314SW;1986;737-3H4;
N314UA;1987;737-322;
N314US;1991;A320-211;
N315AS;2002;737-990;
N315AT;2007;737-7BD;
N315AW;1987;737-3S3;
N315NB;2000;A319-114;
N315SW;1986;737-3H4;
N315UA;1987;737-322;
N315US;1991;A320-211;
N316AT;2007;737-7BD;
N316NB;2000;A319-114;
N316US;1991;A320-211;
N317AS;2003;737-990;
N317CA;2002;CL-600-2C10;
N317MQ;;;
N317NB;2000;A319-114;
N317US;1991;A320-211;
N318AS;2003;737-990;
N318AT;2007;737-7BD;
N318NB;2000;A319-114;
N318SW;1986;737-3H4;
N318UA;1988;737-322;
N318US;1991;A320-211;
N319AA;1985;767-223;
N319NB;2000;A319-114;
N319US;1991;A320-211;
N320AA;1985;767-223;
N320AS;2003;737-990;
N320NB;2000;A319-114;
N320US;1991;A320-211;
N321AA;1986;767-223;
N321NB;2001;A319-114;
N321US;1992;A320-211;
N322AA;1986;767-223;
N322AW;1991;737-3G7;
N322NB;2001;A319-114;
N322US;1992;A320-211;
N323AA;;767-223;
N323AS;2004;737-990;
N323MQ;;;
N323NB;2001;A319-114;
N32404;2001;737-924;
N324AA;1986;767-223;
N324MQ;;;
N324NB;2001;A319-114;
N324US;1992;A320-211;
N325AA;1986;767-223;
N325NB;2001;A319-114;
N325SW;1987;737-3H4;
N325UA;1988;737-322;
N325US;1992;A320-211;
N32626;1995;737-524;
N326AT;2007;737-7BD;
N326NB;2001;A319-114;
N326SW;1987;737-3H4;
N326UA;1988;737-322;
N326US;1992;A320-211;
N327AA;1986;767-223;
N327NB;2001;A319-114;
N327NW;1992;A320-211;
N327SW;1987;737-3H4;
N327UA;1988;737-322;
N328AA;1986;767-223;
N328AT;;737-7BD;
N328NW;1992;A320-211;
N328SW;1988;737-3H4;
N328UA;1988;737-322;
N329AA;1987;767-223;
N329AT;2007;737-7BD;
N329NB;2001;A319-114;
N329NW;1992;A320-211;
N329SW;1988;737-3H4;
N329UA;1988;737-322;
N330AT;2007;737-7BD;
N330SW;1988;737-3H4;
N330UA;1988;737-322;
N33103;1994;757-224;
N33132;1998;757-224;
N33182;2005;EMB-145XR;
N331CA;2002;CL-600-2C10;
N331NW;1992;A320-211;
N331SW;1988;737-3H4;
N331UA;1988;737-322;
N33203;2000;737-824;
N3324L;1967;DC-9-32;
N33262;2001;737-824;
N33264;2001;737-824;
N33266;2001;737-824;
N33284;2004;737-824;
N33286;2004;737-824;
N33289;2004;737-824;
N33292;;737-824;
N33294;2005;737-824;
N332AA;1987;767-223;
N332AW;1987;737-3B7;
N332NB;2001;A319-114;
N332NW;1992;A320-211;
N332SW;1988;737-3H4;
N333NB;2001;A319-114;
N333NW;1992;A320-211;
N333SW;1988;737-3H4;
N333UA;1988;737-322;
N334AW;1987;737-3Y0;
N334NB;2002;A319-114;
N334NW;1992;A320-212;
N334SW;1988;737-3H4;
N334UA;1988;737-322;
N335AA;1987;767-223;
N335NB;2002;A319-114;
N335NW;1992;A320-212;
N335SW;1988;737-3H4;
N335UA;1988;737-322;
N336AA;1987;767-223;
N336AT;2008;737-7BD;
N336NB;2002;A319-114;
N336SW;1988;737-3H4;
N33714;1998;737-724;
N337AT;2008;737-7BD;
N337NB;2002;A319-114;
N337NW;1992;A320-212;
N337SW;1988;737-3H4;
N337UA;1988;737-322;
