numeroVuelo(flightNum);fecha(flightDate);horaSalida(crsDepTime);horaLlegada(crsArrTime);aeropuertoSalida(originiata);aeropuertoLlegada(destinata);compagnia(carrierCode);avion(tailNum);
1085;27/10/2008;1545;1905;MDW;PHL;WN;N480WN;
1085;27/10/2008;920;1520;OAK;MDW;WN;N480WN;
1086;26/10/2008;1650;1930;ABQ;DAL;WN;N615SW;
1086;26/10/2008;1950;2125;DAL;STL;WN;N615SW;
1086;26/10/2008;1335;1625;LAX;ABQ;WN;N615SW;
1086;26/10/2008;2145;40;STL;BWI;WN;N615SW;
1086;27/10/2008;1650;1930;ABQ;DAL;WN;N386SW;
1086;27/10/2008;1950;2125;DAL;STL;WN;N386SW;
1086;27/10/2008;1335;1625;LAX;ABQ;WN;N386SW;
1086;27/10/2008;2145;40;STL;BWI;WN;N386SW;
1087;26/10/2008;1830;2115;TPA;PVD;WN;N914WN;
1087;27/10/2008;1830;2115;TPA;PVD;WN;N246LV;
1088;26/10/2008;1835;1940;BUR;LAS;WN;N227WN;
1088;26/10/2008;2005;2230;LAS;ABQ;WN;N227WN;
1088;27/10/2008;1835;1940;BUR;LAS;WN;N900WN;
1088;27/10/2008;2005;2230;LAS;ABQ;WN;N900WN;
1089;26/10/2008;950;1215;HOU;MDW;WN;N775SW;
1089;26/10/2008;1250;1535;MDW;IAD;WN;N775SW;
1089;27/10/2008;830;920;AUS;HOU;WN;N713SW;
1089;27/10/2008;950;1215;HOU;MDW;WN;N713SW;
1089;27/10/2008;705;810;LBB;AUS;WN;N713SW;
1089;27/10/2008;1250;1535;MDW;IAD;WN;N713SW;
1090;26/10/2008;1300;1550;ELP;HOU;WN;N479WN;
1090;26/10/2008;1620;1725;HOU;MSY;WN;N479WN;
1090;26/10/2008;955;1240;LAS;ELP;WN;N479WN;
1090;26/10/2008;815;925;SAN;LAS;WN;N479WN;
1090;27/10/2008;1300;1550;ELP;HOU;WN;N438WN;
1090;27/10/2008;1620;1725;HOU;MSY;WN;N438WN;
1090;27/10/2008;955;1240;LAS;ELP;WN;N438WN;
1090;27/10/2008;815;925;SAN;LAS;WN;N432WN;
1092;26/10/2008;1515;1615;FLL;TPA;WN;N704SW;
1092;26/10/2008;1645;1920;TPA;BUF;WN;N704SW;
1092;27/10/2008;1515;1615;FLL;TPA;WN;N290WN;
1092;27/10/2008;1645;1920;TPA;BUF;WN;N290WN;
1093;26/10/2008;1300;1600;ISP;FLL;WN;N787SA;
1093;27/10/2008;1300;1600;ISP;FLL;WN;N485WN;
1095;26/10/2008;720;820;HOU;MSY;WN;N216WR;
1095;26/10/2008;845;1100;MSY;MDW;WN;N216WR;
1096;26/10/2008;930;1500;ABQ;MCO;WN;N716SW;
1096;26/10/2008;645;910;LAS;ABQ;WN;N716SW;
1096;27/10/2008;930;1500;ABQ;MCO;WN;N304SW;
1096;27/10/2008;645;910;LAS;ABQ;WN;N304SW;
1097;26/10/2008;1900;2010;SMF;BUR;WN;N277WN;
1097;27/10/2008;1900;2010;SMF;BUR;WN;N629SW;
1098;26/10/2008;850;1055;TPA;IAD;WN;N488WN;
1098;27/10/2008;850;1055;TPA;IAD;WN;N781WN;
1099;26/10/2008;1955;2100;LAS;PHX;WN;N332SW;
1099;27/10/2008;1955;2100;LAS;PHX;WN;N717SA;
1100;26/10/2008;2145;2250;BUR;LAS;WN;N284WN;
1100;27/10/2008;2145;2250;BUR;LAS;WN;N287WN;
1101;26/10/2008;1100;1110;ABQ;TUS;WN;N602SW;
1101;26/10/2008;920;1030;MCI;ABQ;WN;N602SW;
1101;26/10/2008;730;855;MDW;MCI;WN;N602SW;
1101;26/10/2008;1320;1445;SAN;OAK;WN;N602SW;
1101;26/10/2008;1135;1250;TUS;SAN;WN;N602SW;
1102;26/10/2008;1610;1850;MHT;PHX;WN;N473WN;
1102;26/10/2008;1915;2020;PHX;LAS;WN;N473WN;
1102;27/10/2008;1610;1850;MHT;PHX;WN;N737JW;
1102;27/10/2008;1915;2020;PHX;LAS;WN;N737JW;
1103;26/10/2008;725;1010;LAS;SEA;WN;N243WN;
1103;27/10/2008;725;1010;LAS;SEA;WN;N732SW;
1104;27/10/2008;935;1200;CLE;MCO;WN;N550WN;
1105;25/10/2008;1735;1840;MDW;STL;WN;N337SW;
1105;25/10/2008;1900;2040;STL;DAL;WN;N337SW;
1106;26/10/2008;2035;2200;OAK;SNA;WN;N201LV;
1106;27/10/2008;2035;2200;OAK;SNA;WN;N422WN;
1107;26/10/2008;1040;1200;HOU;TUL;WN;N909WN;
1107;26/10/2008;1535;1750;MDW;CLE;WN;N909WN;
1107;26/10/2008;1400;1500;STL;MDW;WN;N909WN;
1107;26/10/2008;1220;1330;TUL;STL;WN;N909WN;
1107;27/10/2008;1040;1200;HOU;TUL;WN;N392SW;
1107;27/10/2008;1535;1750;MDW;CLE;WN;N392SW;
1107;27/10/2008;1400;1500;STL;MDW;WN;N392SW;
1107;27/10/2008;1220;1330;TUL;STL;WN;N392SW;
1108;26/10/2008;1240;1525;FLL;ISP;WN;N483WN;
1108;27/10/2008;1240;1525;FLL;ISP;WN;N203WN;
1110;26/10/2008;1950;2135;MDW;TUS;WN;N443WN;
1110;27/10/2008;1950;2135;MDW;TUS;WN;N490WN;
1111;25/10/2008;1310;2010;LAS;CLE;WN;N404WN;
1111;25/10/2008;1110;1235;SJC;LAS;WN;N404WN;
1112;26/10/2008;1550;1710;SMF;LAX;WN;N250WN;
1112;27/10/2008;1550;1710;SMF;LAX;WN;N223WN;
1113;25/10/2008;915;1655;PHX;PHL;WN;N470WN;
